"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C4","1u","~","-- mixed values --","3",""
"C3","4.7u","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C11","22u","~","Capacitor_SMD:C_2220_5750Metric","1",""
"C12","10n","~","Capacitor_SMD:C_0805_2012Metric","1",""
"D1,D2","D_Schottky","~","Package_TO_SOT_SMD:SOT-323_SC-70","2",""
"L1,L5","L","~","Inductor_SMD:L_Vishay_IHLP-1212","2",""
"Post_Filter1,Pre_Filter1,PWM_IN1","Conn_Coaxial","~","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical","3",""
"Q1,Q2","Q_NMOS_GSD","~","Package_TO_SOT_THT:TO-220-3_Vertical","2",""
"R1,R5,R8","47","~","Resistor_SMD:R_0402_1005Metric","3",""
"R3,R6","0","~","Resistor_SMD:R_0805_2012Metric","2",""
"R4,R9","470","~","MyResistors:RWS5","2",""
"RdtH1,RdtL1","1.8M","~","Resistor_SMD:R_0402_1005Metric","2",""
"U1","LMG1210RVRR","","Drivers:IC_LMG1210RVRR","1",""
